responsable de carga,inventario,n de ficha,titulo,ubicación,sector,sala,caja,SERIES,clasificaci,descripción,dimenciones,materiales,autor,observación,año,fotografia,Fecha de carga,Ancho,Alto,Profundo,diámetro,Estado de conservación,n de inventario anterior,seguimiento,link-fotografias,sobre
E.S.,1,6523,La chacarrera,,18A,,,Museo Bernasconi; Retratos,tabla policromada,Vista de una mujer con un niño en brazos rodeada por tres vasijas,30x22x1cm,Madera,,"Al frente, presenta marco dorado. Presenta craquelación de la madera en toda la superficie. En la parte izquierda central presenta un marcación en forma horizontal de 4cm. En la parte derecha central presenta una marcación  de 4,5cm en forma horizontal. En la parte central presenta tres marcaciones de 1,5cm, de 2cm y de 1cm. Presenta una cisura de 3cm en la parte inferior izquierda en forma vertical. Al dorso, tiene un herraje para colgar en el centro superior. Tiene una etiqueta de 3x1,5cm. Tiene una etiqueta de 2x1,5cm en el margen inferior izquierdo. tiene depositos de pintura en todo el perimetro. Tiene la inscripcion en lapiz ""6"" en la parte superior central. Presenta craquelación de la madera.",,1,2017-12-20,22,30,1,,Regular,18,False,https://drive.google.com/drive/folders/13h7EyV_6kWox7GGBjA9GnkwkUrp4IsN_?usp=sharing,
E.S.,2,6524,Iglesia parroquial de Tafí  - Tucuaman,,17B,,,Iglesias; Museo Bernasconi; serie2; serie3; Tucumán,tabla policromada,Vista de la iglesia parroquial de Tafí con montaña de fondo,"36x27x1,5cm",Madera,Karl Noisternigg,"Al Frente posee marco dorado. Presenta decoloración en la parte superior. Presenta craquelación de la madera. Presenta una marcación por golpe de 4cm en la parte superior izquierda. Presenta marcación por golpe en la parte superior derecha de 1cm. Presenta desprendimiento de material en el margen superior izquierdo. Al dorso, tiene depositos de pintura en el perimetro. Tiene un herraje para colgar en la parte superior central. Tiene una etiqueta de 3x1cm en el margen superior izquierdo. Tiene deposito de humedad en la parte inferior derecha. Tiene la inscripción en grafito sobre madera ""La iglesia parroquial de Tafi - Tucumán"". Tiene en la parte inferior derecha una etiqueta de 10x7cm con la inscripción ""Ministerio de Educación y justicia, Dirección Nacional de Educación primaria, Instituto Felix Bernasconi, Museo Geografico Dr. Juan B. Teran, Sala 4, Tabla Grabada, Rosario Vera Peñaloza"".",,1,2017-12-20,27,36,"1,5",,Regular,,False,https://drive.google.com/open?id=1EZSEBxvAQfcumypPM0GBGF85IK0aaoPy&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,
E.S.,3,6525,Un menhir del mollar - Tucuman,,17B,,,Museo Bernasconi; Pueblos originarios; serie1; serie2; Tucumán,tabla policromada,Vista de una pieza arqueologica petrovertical.,27x36x2,Madera,Karl noisternigg,"Al Frente presenta decoloración en toda la superficie. Tiene marco dorado. Presenta craquelación de la madera en forma horizontal en toda la supericie. Tiene una marcación ór golpe en el la parte superior derecha. Al dorso tiene un herraje para colgar en la parte superior central. Tiene una etiqueta de 3x1cm en la parte superior izquierda con la inscripción ""15"". Tiene la inscripción en lapiz sobre la madera ""Un menhir en el mollar, Tucumán"". tiene deposito de pintura en el perimetro. Tiene una etiqueta de 10x7cm en la parte inferior derecha con la inscripcion ""Ministerio de Educación y justicia, Dirección Nacional de Educación primaria, Instituto Felix Bernasconi, Museo Geografico Dr. Juan B. Teran, Sala 4, Tabla Grabada, Rosario Vera Peñaloza"".",,1,2017-12-20,36,27,2,,Regular,15,False,https://drive.google.com/open?id=1EdIe-leznCg2yv5BrjDmEyPp0wfJkBHK&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,
E.S.,4,6526,TIPO CRIOLLO Del N.O. Argentino. BELEN -CATAMARCA,,17A,sala6,,Catamarca; Museo Bernasconi; Retratos; serie1,tabla policromada,Hombre con poncho con mujer y hombre y caballo al fondo.,30x39x2,Madera,KARL NOISTERNIGG,"Presenta marco dorado. Presenta oxidacion y decoloracion en toda la superficie. Presenta craquelación de la madera en los margenes. Presenta marcacion en el sector inferior izquierdo frontal de 3cm, 4cm. Presenta deposito de pintura negra al dorso. Presenta manchas de humedad al dorso. Presenta herraje al dorso. Presenta uan etiqueta de 3x1,5cm en la parte superior derecha frontal. Presenta la isncripcion en grafito sobre madera al dorso ""tipos de catamarca hombre de belen 7"".",,1,2018-10-18,39,30,2,,Regular,,False,https://drive.google.com/drive/folders/12n0hfzm34UaehAPswlTRi1O010txZwoZ?usp=sharing,
E.S.,5,6527,MUSICOS DE LA PUNA,,17B,sala6,,Museo Bernasconi; Retratos; serie2,tabla policromada,"Vista de cuatro musicos con rancho de fondo y montaña, tocando bombo y sikus",22x30x1,Madera,,"Presenta marco dorado. Presenta decoloracion y oxidacion en toda la superficie. Presenta marcacion en la prte inferior izquierda frontal en forma horizontal de 4cm. Presenta la inscripcion en pintura sobre madera al frente ""Musicos de la puna"". Presenta craquelacion de la madera. Presenta marcacion en la parte superior central frontal de 4x1cm. Presenta marcacion en la parte superior izquierda frontal de 0,5cm. Presenta deposito de pintura dorada en los margenes dorsales. Presenta una etiqueta de 3x1,5cm en la parte superior izquierda dorsal. Presenta un herraje en la parte central superior dorsal. Presenta una etiqueta en la parte inferior izquierda dorsal de 1x1cm con la inscripción ""23"". Presenta una etiqueta en la parte inferior derecha dorsal de 7x10,5cm con la inscripcion ""Ministerio de educacion y justica dirección nacional de educación primaria instituto felix F. Bernasconi museo geográfico Dr. juan B. Teran SAla 4 tabla grabada autora Rosario Vera peñaloza"". Presenta una eriqueta en la parte inferioe izquierda dorsal de 11x17cm con la inscripción "" museo geográfico Dr. juan B. Teran instituto felix f. bernasconi tabla grabada autora Rosario Vera Peñaloza sala n| 4""",,1,2018-10-18,30,22,1,,Regular,,False,https://drive.google.com/drive/folders/13cPV6c3B3irkcGL_XkLGuTBw1rPEHcuL?usp=sharing,
E.S.,6,6528,La casa del encuentro -salta,,17A,,,Museo Bernasconi,tabla policromada,Vista fachada de una casa con arbol al costado,27x36x2,Madera,Karl Nosternigg,"Presenta marco dorado. Tiene la inscripcion ""la casa del encuentro - salta"" en la parte inferior central. Presenta maraccion de 1cm en la aprte derecha frontal central. Presenta maraccion en la parte central izquierda frontal de 1cm y 1cm. Presenta craquelacion en la madera. al dorso presenta deposito de pintura dorada en los margenes. tiene un herraje para colgar en la aprte central superior dorsal. Tiene un etiqueta de 10x7cm en la aprte dorsal inferior derecha con la inscripcion ""6 ministerio de educacin y justicia dirección nacional de educación primaria intituto felix bernasconi museo geográfico juan b. teran sala 4 tabla grabada autora: rosario vera peñaloza"".",,1,2019-04-26,36,27,2,,Regular,,False,https://drive.google.com/drive/folders/1NonOByRN109AyHBS1uwtvmLGusNf_FRW?usp=sharing,
,7,6529,"""INCA -CUEVA (JUJUY) """,,19C,pasillo sala 1-2,,,tabla policromada,Vista de cueva entre montañas,"27x35x0,8",Madera,,"Presemta faltante de material en la parte superior izquierda frontal de 0,5cm. Presenta craquelación de la madera en la parte del margen izquierdo frontal. Presenta marcación por golpe en la parte superior derecha frontal. Tiene marco dorado. Tiene un herraje al dorso en la parte central superior. Tiene una etiqueta de 3x1,5cm en la aprte superior izquierda dorsal. Tiene una etiqueta de 1x1cm en la parte inferior derecha con la inscripción ""22"". Tiene una etiqueta en la parte inferior izquierda dorsal con la inscripción """"Ministerio de educacion y justicia dirección nacional de educación primaria instituto Felix F. Bernasconi museo geográfico Dr. Juan B. Teran sala 4 tabla grabada autora Rosario Vera Peñaloza"".",,1,,35,27,"0,8",,Regular,,False,,
,8,6530,El río Juramento-Salta,,19C,pasillo sala 1-2,,,tabla policromada,Vista río c/barranca,27x36x2,Madera,KARL NOISTERNIGG,,,1,2017-08-22,36,27,2,,Regular,,False,,
Jonathan Mayán,9,6531,Paisaje de Jujuy,,19C,,,Instituto Barnasconi; Paisajes,tabla policromada,Vista valle c/vivienda,"37x50,5x2,5",Madera,,,,1,2022-05-03,"50,5",37,"2,5",,Regular,,False,https://drive.google.com/drive/folders/1lxmZ_6rPm0oirhzqSWlI0AtjBUZ5HFTw?usp=sharing,
E.S.,10,6532,Una calle de susquis,,17C,,,Costumbres; Instituto Barnasconi; Paisajes,tabla policromada,Vista de calle y casas con pobladores,"50x40x2,3",Madera,KARL NOISTERNIGG,"Presenta marco dorado. Presenta craquelación de la madera en la parte inferior frontal. Presenta marcacion por golpe en la parte inferior central frontal. Presenta marcacion por golpe en la parte inferior izquierda frontal de 4cm. Presenta dieciocho incisiones de xilofago en la parte superior frontal. Presenta marcación por golpe en la parte inferior derecha frontal de 1cm. Presenta deposito de humedad al dorso. Presenta depósito de pintura dorado en los margenes. Tiene un herraje en la parte superior central dorsal. Tiene una etiqueta de 3x1cm en la parte superior izquierda dorsal. Tiene una etiqueta de 10,5x7,5cm en la parte inferior derecha dorsal con la inscripción ""Ministerio de Educación y justicia, Dirección nacional de educación primaria, instituto Felix F. Bernasconi museo geográfico Dr. Juan B. Teran, sala 4 tabla grabada autora Rosario Vera Peñaloza"". Presenta nueve incisiones de xilofago en la parte dorsal.",,1,2018-08-27,40,50,"2,3",,Regular,,True,https://drive.google.com/drive/folders/12tzZh6LLiVus_fgojvFpKdXaKWZoOrST?usp=sharing,
