N de inventario,N de intevención,fotografia,larvas,esqueletos,inciciones,tapones,link-fotografías,fecha finalizacion
31,299,1,0.0,0.0,3.0,,,2021-12-28
37,229,1,0.0,0.0,2.0,0.0,,2021-11-12
37,421,1,0.0,0.0,2.0,0.0,vacio,2023-03-10
125,220,1,,,1.0,,,2021-11-10
151,340,1,0.0,2.0,99.0,0.0,vacio,2022-11-25
154,206,1,,,2025.0,141.0,,2021-11-11
154,401,1,29.0,13.0,2079.0,19.0,vacio,2023-03-08
157,204,1,,,,,,2021-11-11
158,390,1,0.0,0.0,5.0,0.0,vacio,2023-02-16
158,296,1,0.0,1.0,5.0,0.0,,2021-12-28
161,202,1,,,1378.0,88.0,,2021-11-11
161,399,1,13.0,78.0,1486.0,19.0,vacio,2023-03-03
163,213,1,10.0,2.0,940.0,44.0,,2021-11-11
163,395,1,34.0,32.0,978.0,17.0,vacio,2023-11-28
164,205,1,1.0,0.0,10.0,0.0,,2021-11-11
164,391,1,2.0,0.0,11.0,0.0,vacio,2023-02-16
187,396,1,0.0,0.0,11.0,0.0,vacio,2023-02-27
187,203,1,0.0,0.0,11.0,0.0,,2021-11-11
188,429,1,0.0,0.0,1.0,0.0,vacio,2023-03-13
188,302,1,0.0,0.0,1.0,0.0,,2021-12-30
190,290,1,0.0,0.0,2.0,0.0,,2021-12-08
190,427,1,0.0,0.0,2.0,0.0,vacio,2023-03-13
193,430,1,0.0,0.0,7.0,0.0,vacio,2023-03-13
193,309,1,0.0,0.0,7.0,0.0,,2021-12-02
200,231,1,0.0,0.0,3.0,1.0,,2021-11-12
200,425,1,0.0,0.0,3.0,0.0,vacio,2023-11-27
211,279,1,0.0,0.0,4.0,0.0,,2021-12-02
741,315,1,,,9.0,,,2022-10-27
741,347,1,0.0,0.0,9.0,0.0,vacio,2022-11-29
742,330,1,0.0,2.0,0.0,0.0,vacio,2022-06-29
742,348,1,0.0,0.0,0.0,0.0,vacio,2022-11-29
743,346,1,0.0,0.0,3.0,0.0,vacio,2022-11-29
743,314,1,0.0,0.0,3.0,2.0,https://drive.google.com/open?id=1ryFL6wl-Uz8jPVRaZnvgpH5xSMQdqF9q&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,2022-06-30
883,285,1,,,,,,2021-11-29
884,223,1,0.0,0.0,110.0,7.0,,2021-11-12
905,416,1,2.0,6.0,171.0,4.0,vacio,2023-03-10
905,225,1,0.0,0.0,162.0,3.0,,2021-11-12
